[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=63 reads_seen=34652 reads_in_scan1IdMap=108 bsj_emitted=267
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=21 reads_seen=35005 reads_in_scan1IdMap=126 bsj_emitted=253
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=55 reads_seen=34602 reads_in_scan1IdMap=116 bsj_emitted=262
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=41 reads_seen=34898 reads_in_scan1IdMap=124 bsj_emitted=231
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=50 reads_seen=35745 reads_in_scan1IdMap=105 bsj_emitted=235
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=11 reads_seen=34865 reads_in_scan1IdMap=125 bsj_emitted=269
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=48 reads_seen=35795 reads_in_scan1IdMap=101 bsj_emitted=223
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=29 reads_seen=34664 reads_in_scan1IdMap=99 bsj_emitted=241
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=12 reads_seen=35591 reads_in_scan1IdMap=105 bsj_emitted=244
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=4 reads_seen=35415 reads_in_scan1IdMap=124 bsj_emitted=236
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=40 reads_seen=35314 reads_in_scan1IdMap=118 bsj_emitted=257
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=36 reads_seen=35574 reads_in_scan1IdMap=123 bsj_emitted=271
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=35 reads_seen=34844 reads_in_scan1IdMap=121 bsj_emitted=259
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=27 reads_seen=34954 reads_in_scan1IdMap=108 bsj_emitted=218
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=60 reads_seen=35352 reads_in_scan1IdMap=116 bsj_emitted=232
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=14 reads_seen=35517 reads_in_scan1IdMap=101 bsj_emitted=203
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=62 reads_seen=35581 reads_in_scan1IdMap=107 bsj_emitted=234
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=57 reads_seen=34857 reads_in_scan1IdMap=133 bsj_emitted=272
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=51 reads_seen=34925 reads_in_scan1IdMap=117 bsj_emitted=252
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=44 reads_seen=35344 reads_in_scan1IdMap=99 bsj_emitted=243
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=61 reads_seen=34977 reads_in_scan1IdMap=113 bsj_emitted=245
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=46 reads_seen=35658 reads_in_scan1IdMap=97 bsj_emitted=219
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=9 reads_seen=34894 reads_in_scan1IdMap=105 bsj_emitted=237
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=13 reads_seen=34716 reads_in_scan1IdMap=115 bsj_emitted=239
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=19 reads_seen=34788 reads_in_scan1IdMap=141 bsj_emitted=292
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=58 reads_seen=35589 reads_in_scan1IdMap=94 bsj_emitted=200
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=39 reads_seen=34993 reads_in_scan1IdMap=115 bsj_emitted=281
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=32 reads_seen=35514 reads_in_scan1IdMap=114 bsj_emitted=219
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=47 reads_seen=34558 reads_in_scan1IdMap=122 bsj_emitted=257
